,Experiment_Acc.x,Library_Acc.x,File_Acc,Avg_Score,R0_Count,R1_Count,Enrichment,life_stage_age,perturbed,lab,biosample_class,developmental_slims,system_slims,organ_slims,cell_slims,Antibody,Biosample,Library_Acc.y,Experiment_Acc.y,Correlation,cluster,corr_motif1,corr_motif2
18,ENCSR671ITY,ENCLB526UOI,ENCFF631WSI,-3294.77455573378,164,839,5.11585365853659,adult 48 years,True,/labs/bradley-bernstein/,cell line,['endoderm'],,"['intestine', 'colon', 'epithelium', 'large intestine']","['epithelial cell', 'cancer cell']",ENCAB719MQZ,ENCBS628SFE,ENCLB526UOI,ENCSR671ITY,0.140344926264775,1,0.943392,-0.090446
19,ENCSR671ITY,ENCLB526UOI,ENCFF309XGI,-3294.7878208974,169,833,4.92899408284024,adult 48 years,True,/labs/bradley-bernstein/,cell line,['endoderm'],,"['intestine', 'colon', 'epithelium', 'large intestine']","['epithelial cell', 'cancer cell']",ENCAB719MQZ,ENCBS628SFE,ENCLB526UOI,ENCSR671ITY,0.140761167507459,1,0.946114,0.129453
20,ENCSR671ITY,ENCLB526UOI,ENCFF186MIP,-3295.6325145475,168,836,4.97619047619048,adult 48 years,True,/labs/bradley-bernstein/,cell line,['endoderm'],,"['intestine', 'colon', 'epithelium', 'large intestine']","['epithelial cell', 'cancer cell']",ENCAB719MQZ,ENCBS628SFE,ENCLB526UOI,ENCSR671ITY,0.143005603551647,1,0.941109,0.067294
21,ENCSR671ITY,ENCLB526UOI,ENCFF895PXF,-3296.00837707241,166,840,5.06024096385542,adult 48 years,True,/labs/bradley-bernstein/,cell line,['endoderm'],,"['intestine', 'colon', 'epithelium', 'large intestine']","['epithelial cell', 'cancer cell']",ENCAB719MQZ,ENCBS628SFE,ENCLB526UOI,ENCSR671ITY,0.140929741351291,1,0.940545,0.13631
22,ENCSR671ITY,ENCLB704HCC,ENCFF907KEZ,-3298.31879788168,170,833,4.9,adult 48 years,True,/labs/bradley-bernstein/,cell line,['endoderm'],,"['intestine', 'colon', 'epithelium', 'large intestine']","['epithelial cell', 'cancer cell']",ENCAB719MQZ,ENCBS628SFE,ENCLB704HCC,ENCSR671ITY,0.13969989731859,1,0.953321,0.227745
23,ENCSR671ITY,ENCLB704HCC,ENCFF540HZC,-3299.14783967209,169,836,4.94674556213018,adult 48 years,True,/labs/bradley-bernstein/,cell line,['endoderm'],,"['intestine', 'colon', 'epithelium', 'large intestine']","['epithelial cell', 'cancer cell']",ENCAB719MQZ,ENCBS628SFE,ENCLB704HCC,ENCSR671ITY,0.139736403105823,1,0.954473,0.228878
24,ENCSR671ITY,ENCLB704HCC,ENCFF720ASD,-3297.2915441067,164,838,5.10975609756098,adult 48 years,True,/labs/bradley-bernstein/,cell line,['endoderm'],,"['intestine', 'colon', 'epithelium', 'large intestine']","['epithelial cell', 'cancer cell']",ENCAB719MQZ,ENCBS628SFE,ENCLB704HCC,ENCSR671ITY,0.133808441201615,1,0.950827,0.218832
25,ENCSR671ITY,ENCLB704HCC,ENCFF696QFH,-3299.39714644227,170,832,4.89411764705882,adult 48 years,True,/labs/bradley-bernstein/,cell line,['endoderm'],,"['intestine', 'colon', 'epithelium', 'large intestine']","['epithelial cell', 'cancer cell']",ENCAB719MQZ,ENCBS628SFE,ENCLB704HCC,ENCSR671ITY,0.135998986163444,1,0.954158,-0.228519
26,ENCSR079YAP,ENCLB021PKO,ENCFF702GBY,-3291.92546682235,456,546,1.19736842105263,adult 37 years,False,/labs/bradley-bernstein/,tissue,['mesoderm'],,"['vasculature', 'arterial blood vessel', 'limb', 'blood vessel']",[],ENCAB719MQZ,ENCBS452GMG,ENCLB021PKO,ENCSR079YAP,0.728708665788925,1,0.937223,-0.118112
27,ENCSR261VAS,ENCLB380MYK,ENCFF137VYP,-3325.10289732786,538,472,0.87732342007435,embryonic 5 days,False,/labs/bradley-bernstein/,in vitro differentiated cells,['mesoderm'],,['musculature of body'],['smooth muscle cell'],ENCAB000AXX,ENCBS899TTJ,ENCLB380MYK,ENCSR261VAS,0.731349839752873,1,0.726453,0.769582
